ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications Received - Scheme wise,RPO Ahmedabad,Normal,7174,51414,567081,29:09.8
Applications Received - Scheme wise,RPO Ahmedabad,Tatkaal,1600,1368,14930,29:09.8
Applications Received - Gender wise,RPO Ahmedabad,FEMALE,3029,21273,233635,29:09.8
Applications Received - Gender wise,RPO Ahmedabad,MALE,4305,31498,348282,29:09.8
Applications with Aadhaar Number,RPO Ahmedabad,Count of Applications,7334,52772,581932,29:09.8
Applications - Education Wise,RPO Ahmedabad,10TH PASS AND ABOVE,2225,17419,203352,29:09.8
Applications - Education Wise,RPO Ahmedabad,GRADUATE AND ABOVE,2302,15019,170231,29:09.8
Applications - Age Wise Wise,RPO Ahmedabad,Between_18_to_35,3161,22963,254217,29:09.8
Applications - Age Wise Wise,RPO Ahmedabad,Between_36_to_60,2367,17092,188559,29:09.8
Applications - Age Wise Wise,RPO Ahmedabad,GreaterThan60,570,4440,48648,29:09.8
Applications - Age Wise Wise,RPO Ahmedabad,LessThan18,1236,8277,90508,29:09.8
Application Fee Online Payment - Mode Wise,RPO Ahmedabad,Challan,1900,2086350,34294600,29:09.8
Application Fee Online Payment - Mode Wise,RPO Ahmedabad,Credit/ Debit Card,6300,42177500,491398700,29:09.8
Application Fee Online Payment - Mode Wise,RPO Ahmedabad,Online,2000,15199750,185946650,29:09.8
Applications Received - Service Wise,RPO Ahmedabad,FRESH,4294,31846,354535,29:09.8
Applications Received - Service Wise,RPO Ahmedabad,PCC,5070,2778,26145,29:09.8
Applications Received - Service Wise,RPO Ahmedabad,REISSUE,2530,18131,201093,29:09.8
Applications Granted - PV Mode wise,RPO Ahmedabad,No Verification,1920,6794,78966,29:09.8
Applications Granted - PV Mode wise,RPO Ahmedabad,Post Verification,1238,9208,96076,29:09.8
Applications Granted - PV Mode wise,RPO Ahmedabad,Pre Verification,4383,33793,364867,29:09.8
PV Processing Time,RPO Ahmedabad,Within 21 Days,7426,39291,404300,29:09.8
Applications Received - Scheme wise,RPO Amritsar,Normal,3057,16509,184432,29:09.8
Applications Received - Gender wise,RPO Amritsar,FEMALE,1199,6583,72810,29:09.8
Applications Received - Gender wise,RPO Amritsar,MALE,1882,10103,113589,29:09.8
Applications with Aadhaar Number,RPO Amritsar,Count of Applications,3081,16686,186406,29:09.8
Applications - Education Wise,RPO Amritsar,10TH PASS AND ABOVE,1701,9159,105915,29:09.8
Applications - Education Wise,RPO Amritsar,GRADUATE AND ABOVE,3860,1931,20564,29:09.8
Applications - Age Wise Wise,RPO Amritsar,Between_18_to_35,1696,9227,107351,29:09.8
Applications - Age Wise Wise,RPO Amritsar,Between_36_to_60,817,4434,47720,29:09.8
Applications - Age Wise Wise,RPO Amritsar,GreaterThan60,1800,950,9764,29:09.8
Applications - Age Wise Wise,RPO Amritsar,LessThan18,3895,2075,21571,29:09.8
Application Fee Online Payment - Mode Wise,RPO Amritsar,Challan,2500,211950,3112650,29:09.8
Application Fee Online Payment - Mode Wise,RPO Amritsar,Credit/ Debit Card,2689,11335900,117887500,29:09.8
Application Fee Online Payment - Mode Wise,RPO Amritsar,Online,2548,7913850,105814250,29:09.8
Applications Received - Service Wise,RPO Amritsar,FRESH,2002,11254,128051,29:09.8
Applications Received - Service Wise,RPO Amritsar,PCC,2555,1088,10015,29:09.8
Applications Received - Service Wise,RPO Amritsar,REISSUE,2846,4343,48331,29:09.8
Applications Granted - PV Mode wise,RPO Amritsar,No Verification,1130,375,3647,29:09.8
Applications Granted - PV Mode wise,RPO Amritsar,Post Verification,1820,962,11880,29:09.8
Applications Granted - PV Mode wise,RPO Amritsar,Pre Verification,2348,13938,155723,29:09.8
PV Processing Time,RPO Amritsar,More than 21 Days,7956,3908,34645,29:09.8
PV Processing Time,RPO Amritsar,Within 21 Days,3049,13168,135535,29:09.8
Applications Received - Scheme wise,RPO Bangalore,Normal,5473,15473,57000,03:38.8
Applications Received - Scheme wise,RPO Bangalore,Tatkaal,923,923,4071,03:38.8
Applications Received - Gender wise,RPO Bangalore,FEMALE,6642,6642,25471,03:38.8
Applications Received - Gender wise,RPO Bangalore,MALE,9752,9752,38069,03:38.8
Applications with Aadhaar Number,RPO Bangalore,Count of Applications,6985,16394,63540,03:38.8
Applications - Education Wise,RPO Bangalore,10TH PASS AND ABOVE,5070,5070,19490,03:38.8
Applications - Education Wise,RPO Bangalore,5TH PASS OR LESS,3512,3512,13588,03:38.8
Applications - Education Wise,RPO Bangalore,BETWEEN 6TH AND 9TH STANDARD,2078,2078,7699,03:38.8
Applications - Education Wise,RPO Bangalore,GRADUATE AND ABOVE,5730,5730,22712,03:38.8
Applications - Age Wise Wise,RPO Bangalore,Between_18_to_35,7653,7653,29491,03:38.8
Applications - Age Wise Wise,RPO Bangalore,Between_36_to_60,4923,4923,18658,03:38.8
